Date,Time,Produced,Demand,Depriciation
27-03-2021,19:30:00,12446,12446,0.00
27-03-2021,19:00:00,12349,12349,0.00
27-03-2021,18:00:00,10402,10402,0.00
27-03-2021,17:00:00,10491,10491,0.00
27-03-2021,16:00:00,10815,10815,0.00
27-03-2021,15:00:00,10988,10988,0.00
27-03-2021,14:00:00,10763,10763,0.00
27-03-2021,13:00:00,10634,10634,0.00
27-03-2021,12:00:00,10425,10425,0.00
21-03-2021,08:00:00,9208,9208,0.00
21-03-2021,07:00:00,8943,8943,0.00
21-03-2021,06:00:00,8679,8679,0.00
21-03-2021,05:00:00,8802,8802,0.00
21-03-2021,04:00:00,8951,8951,0.00
21-03-2021,03:00:00,9077,9077,0.00
21-03-2021,02:00:00,9298,9298,0.00
21-03-2021,01:00:00,9666,9666,0.00
20-03-2021,24:00:00,10374,10374,0.00
20-03-2021,23:00:00,10951,10951,0.00
20-03-2021,22:00:00,11348,11348,0.00
20-03-2021,21:00:00,11791,11791,0.00
20-03-2021,20:00:00,12064,12064,0.00
20-03-2021,19:30:00,12176,12176,0.00
20-03-2021,19:00:00,11851,11851,0.00
20-03-2021,18:00:00,9917,9917,0.00
20-03-2021,17:00:00,9798,9798,0.00
20-03-2021,16:00:00,9904,9904,0.00
20-03-2021,15:00:00,9909,9909,0.00
20-03-2021,14:00:00,9826,9826,0.00
20-03-2021,13:00:00,9783,9783,0.00
20-03-2021,12:00:00,9578,9578,0.00
20-03-2021,11:00:00,9151,9151,0.00
20-03-2021,10:00:00,8919,8919,0.00
20-03-2021,09:00:00,8676,8676,0.00
20-03-2021,08:00:00,8572,8572,0.00
20-03-2021,07:00:00,8319,8319,0.00
20-03-2021,06:00:00,8186,8186,0.00
20-03-2021,05:00:00,8133,8133,0.00
20-03-2021,04:00:00,8278,8278,0.00
20-03-2021,03:00:00,8416,8416,0.00
20-03-2021,02:00:00,8777,8777,0.00
20-03-2021,01:00:00,9040,9040,0.00
19-03-2021,24:00:00,9482,9482,0.00
19-03-2021,23:00:00,10036,10036,0.00
19-03-2021,22:00:00,10460,10460,0.00
19-03-2021,21:00:00,10748,10748,0.00
19-03-2021,20:00:00,10712,10712,0.00
19-03-2021,19:30:00,10846,10846,0.00
19-03-2021,19:00:00,10394,10394,0.00
19-03-2021,18:00:00,8808,8808,0.00
19-03-2021,17:00:00,8578,8578,0.00
19-03-2021,16:00:00,8858,8858,0.00
19-03-2021,15:00:00,8942,8942,0.00
19-03-2021,14:00:00,8774,8774,0.00
19-03-2021,13:00:00,8986,8986,0.00
19-03-2021,12:00:00,8737,8737,0.00
19-03-2021,11:00:00,8495,8495,0.00
19-03-2021,10:00:00,8277,8277,0.00
19-03-2021,09:00:00,8204,8204,0.00
19-03-2021,08:00:00,8292,8292,0.00
25-03-2021,10:00:00,10437,10437,0.00
25-03-2021,09:00:00,10105,10105,0.00
25-03-2021,08:00:00,9749,9749,0.00
25-03-2021,07:00:00,9560,9560,0.00
25-03-2021,06:00:00,9629,9629,0.00
25-03-2021,05:00:00,9768,9768,0.00
25-03-2021,04:00:00,10020,10020,0.00
25-03-2021,03:00:00,10296,10296,0.00
